stim1,stim2,RT,correct,condition,Association,TaskType
square,trapeze,612,1,pair,friendhappy,RG_incongruent
pentagon,,437,1,single,neutral,RG_incongruent
pentagon,,450,1,single,neutral,RG_incongruent
kite,,620,1,single,you,RG_incongruent
pentagon,kite,542,1,pair,youneutral,RG_incongruent
square,trapeze,548,1,pair,friendhappy,RG_incongruent
square,,533,0,single,friend,RG_incongruent
kite,,418,1,single,you,RG_incongruent
square,,442,1,single,friend,RG_incongruent
kite,,633,1,single,you,RG_incongruent
pentagon,,579,1,single,neutral,RG_incongruent
pentagon,kite,507,1,pair,youneutral,RG_incongruent
trapeze,square,540,1,pair,friendhappy,RG_incongruent
square,trapeze,490,1,pair,friendhappy,RG_incongruent
trapeze,square,525,1,pair,friendhappy,RG_incongruent
trapeze,,490,1,single,happy,RG_incongruent
square,,460,1,single,friend,RG_incongruent
square,,506,1,single,friend,RG_incongruent
trapeze,,474,1,single,happy,RG_incongruent
pentagon,,393,1,single,neutral,RG_incongruent
kite,pentagon,469,1,pair,youneutral,RG_incongruent
kite,,478,1,single,you,RG_incongruent
pentagon,,378,1,single,neutral,RG_incongruent
pentagon,kite,400,1,pair,youneutral,RG_incongruent
square,,536,1,single,friend,RG_incongruent
trapeze,,550,1,single,happy,RG_incongruent
trapeze,,490,1,single,happy,RG_incongruent
kite,,442,1,single,you,RG_incongruent
pentagon,kite,460,1,pair,youneutral,RG_incongruent
square,,558,1,single,friend,RG_incongruent
kite,pentagon,470,1,pair,youneutral,RG_incongruent
pentagon,,446,0,single,neutral,RG_incongruent
kite,,468,1,single,you,RG_incongruent
pentagon,,466,1,single,neutral,RG_incongruent
kite,,466,1,single,you,RG_incongruent
trapeze,,529,1,single,happy,RG_incongruent
pentagon,,595,1,single,neutral,RG_incongruent
square,trapeze,507,0,pair,friendhappy,RG_incongruent
trapeze,,570,1,single,happy,RG_incongruent
kite,,366,1,single,you,RG_incongruent
trapeze,square,448,1,pair,friendhappy,RG_incongruent
trapeze,,577,1,single,happy,RG_incongruent
square,,528,1,single,friend,RG_incongruent
trapeze,square,541,1,pair,friendhappy,RG_incongruent
trapeze,square,426,1,pair,friendhappy,RG_incongruent
pentagon,kite,412,1,pair,youneutral,RG_incongruent
trapeze,,377,1,single,happy,RG_incongruent
square,trapeze,771,1,pair,friendhappy,RG_incongruent
kite,pentagon,439,1,pair,youneutral,RG_incongruent
kite,,493,1,single,you,RG_incongruent
square,,456,1,single,friend,RG_incongruent
square,,457,1,single,friend,RG_incongruent
trapeze,,496,1,single,happy,RG_incongruent
pentagon,,364,0,single,neutral,RG_incongruent
pentagon,,478,1,single,neutral,RG_incongruent
square,trapeze,527,1,pair,friendhappy,RG_incongruent
pentagon,,704,1,single,neutral,RG_incongruent
kite,,459,1,single,you,RG_incongruent
trapeze,,529,1,single,happy,RG_incongruent
trapeze,square,662,1,pair,friendhappy,RG_incongruent
square,trapeze,495,1,pair,friendhappy,RG_incongruent
square,trapeze,540,1,pair,friendhappy,RG_incongruent
square,,509,1,single,friend,RG_incongruent
kite,,584,1,single,you,RG_incongruent
trapeze,,531,1,single,happy,RG_incongruent
pentagon,,481,0,single,neutral,RG_incongruent
kite,,442,1,single,you,RG_incongruent
trapeze,,475,1,single,happy,RG_incongruent
kite,pentagon,376,1,pair,youneutral,RG_incongruent
pentagon,,433,0,single,neutral,RG_incongruent
pentagon,kite,330,1,pair,youneutral,RG_incongruent
square,,344,1,single,friend,RG_incongruent
pentagon,kite,489,1,pair,youneutral,RG_incongruent
kite,pentagon,334,1,pair,youneutral,RG_incongruent
kite,pentagon,326,1,pair,youneutral,RG_incongruent
pentagon,,432,1,single,neutral,RG_incongruent
kite,,338,1,single,you,RG_incongruent
pentagon,,555,1,single,neutral,RG_incongruent
kite,,546,1,single,you,RG_incongruent
trapeze,,577,1,single,happy,RG_incongruent
square,,418,1,single,friend,RG_incongruent
pentagon,kite,410,1,pair,youneutral,RG_incongruent
square,trapeze,391,1,pair,friendhappy,RG_incongruent
pentagon,kite,501,1,pair,youneutral,RG_incongruent
kite,,410,1,single,you,RG_incongruent
pentagon,,453,1,single,neutral,RG_incongruent
kite,,483,1,single,you,RG_incongruent
square,,299,1,single,friend,RG_incongruent
pentagon,,314,1,single,neutral,RG_incongruent
trapeze,,363,0,single,happy,RG_incongruent
square,,492,1,single,friend,RG_incongruent
trapeze,,583,1,single,happy,RG_incongruent
square,,499,1,single,friend,RG_incongruent
trapeze,square,539,1,pair,friendhappy,RG_incongruent
trapeze,square,458,1,pair,friendhappy,RG_incongruent
square,,589,1,single,friend,RG_incongruent
trapeze,,512,1,single,happy,RG_incongruent
kite,,923,1,single,you,RG_incongruent
kite,,570,1,single,you,RG_incongruent
trapeze,,442,1,single,happy,RG_incongruent
pentagon,,395,1,single,neutral,RG_incongruent
kite,pentagon,460,1,pair,youneutral,RG_incongruent
